index_id,True_Misconception,openai/gpt-oss-20b,llama-3.1-8b-instant,qwen/qwen3-32b
100,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
101,Denominator Only Change,Wrong Fraction,Additive Reasoning Error,Adding Fractions Across
102,Unclassified Error,Positive/Negative Sign Error,Swapped Dividend,Positive/Negative Sign Error
103,Unclassified Error,Inverse Operation Error,Whole Number Bias,Positive/Negative Sign Error
104,Unclassified Error,Incomplete Calculation,Incomplete Calculation,Unknowable Error
105,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
106,Duplication Error,Duplication Error,Duplication Error,Duplication Error
107,Multiplying By 4,Multiplication Error,Scale Factor Error,Multiplication Error
108,Subtraction Error,Multiplication Error,Additive Reasoning Error,Additive Reasoning Error
109,Unclassified Error,Whole Number Bias,Whole Number Bias,Whole Number Bias
110,Unclassified Error,Wrong Fraction,Whole Number Bias,Duplication Error
111,Unclassified Error,Unclassified Error,Multiplication Error,Unclassified Error
112,Unclassified Error,Unclassified Error,Scale Factor Error,Multiplication Error
113,Unclassified Error,Wrong Fraction,Whole Number Bias,Unclassified Error
114,Wrong Fraction,Wrong Term,Whole Number Bias,Incomplete Calculation
115,Wrong Term,Wrong Term,Additive Reasoning Error,Unclassified Error
116,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
117,Multiplying By 4,Multiplication Error,Scale Factor Error,Inversion Error
118,Denominator Only Change,Adding Fractions Across,Adding Fractions Across,Adding Fractions Across
119,Tacking On Zeroes,Tacking On Zeroes,Whole Number Bias,Positive/Negative Sign Error
120,Unclassified Error,Unclassified Error,Inversion Error,Unclassified Error
121,Unclassified Error,Interior Angle Error,Additive Reasoning Error,Unclassified Error
122,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
123,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation
124,Unclassified Error,Adding Fractions Across,Adding Fractions Across,Adding Fractions Across
125,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
126,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
127,Whole Number Bias,Wrong Fraction,Incomplete Calculation,Whole Number Bias
128,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
129,Unclassified Error,Unclassified Error,Inversion Error,Irrelevant Explanation
130,Unclassified Error,Unclassified Error,Additive Reasoning Error,Positive/Negative Sign Error
131,Unclassified Error,Whole Number Bias,Whole Number Bias,Unclassified Error
132,Unclassified Error,Additive Reasoning Error,Denominator Only Change,Additive Reasoning Error
133,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
134,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
135,Unclassified Error,Unclassified Error,Unclassified Error,Whole Number Bias
136,Multiplication Error,Unclassified Error,Swapped Dividend,Inverse Operation Error
137,Unclassified Error,Unclassified Error,Whole Numbers Are Larger,Unclassified Error
138,Whole Numbers Are Larger,Unclassified Error,Whole Number Bias,Whole Number Bias
139,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
140,Incomplete Calculation,Denominator Only Change,Incomplete Calculation,Whole Number Bias
141,Shorter Decimals Are Bigger,Unclassified Error,Ignores Zeroes,Shorter Decimals Are Bigger
142,Scale Factor Error,Definition Error,Whole Number Bias,Definition Error
143,Unclassified Error,Unclassified Error,Incomplete Calculation,Unclassified Error
144,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
145,Unclassified Error,Unclassified Error,Duplication Error,Unclassified Error
146,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
147,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
148,Unclassified Error,Unclassified Error,Shorter Decimals Are Bigger,Unclassified Error
149,Positive/Negative Sign Error,Positive/Negative Sign Error,Additive Reasoning Error,Inverse Operation Error
150,Wrong Fraction,Wrong Term,Additive Reasoning Error,Wrong Term
151,Unclassified Error,Additive Reasoning Error,Whole Number Bias,Unclassified Error
152,Unclassified Error,Unknowable Error,Whole Number Bias,Unclassified Error
153,Incomplete Calculation,Wrong Fraction,Incomplete Calculation,Unclassified Error
154,Multiplication Error,Division Error,Inversion Error,Swapped Dividend
155,Unclassified Error,Irrelevant Explanation,Whole Number Bias,Unclassified Error
156,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
157,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
158,Unclassified Error,Subtraction Error,Additive Reasoning Error,Additive Reasoning Error
159,Whole Number Bias,Denominator Only Change,Unclassified Error,Whole Number Bias
160,Subtraction Error,Subtraction Error,Additive Reasoning Error,Additive Reasoning Error
161,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
162,Multiplication Error,Division Error,Swapped Dividend,Swapped Dividend
163,Unclassified Error,Wrong Term,Whole Number Bias,Wrong Term
164,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
165,Unclassified Error,Unclassified Error,Whole Number Bias,Whole Number Bias
166,First Term Error,Wrong Term,Additive Reasoning Error,Unclassified Error
167,Unclassified Error,Definition Error,Whole Number Bias,Base Rate Error
168,Irrelevant Explanation,Division Error,Additive Reasoning Error,Scale Factor Error
169,Multiplying By 4,Multiplying By 4,Scale Factor Error,Inverse Operation Error
170,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
171,Unclassified Error,Unclassified Error,Swapped Dividend,Unclassified Error
172,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
173,Multiplication Error,Swapped Dividend,Swapped Dividend,Swapped Dividend
174,Swapped Dividend,Swapped Dividend,Swapped Dividend,Swapped Dividend
175,Whole Numbers Are Larger,Whole Numbers Are Larger,Whole Number Bias,Whole Number Bias
176,Unclassified Error,Unclassified Error,Definition Error,Unclassified Error
177,Duplication Error,Duplication Error,Duplication Error,Duplication Error
178,Unclassified Error,Inverse Operation Error,Multiplication Error,Scale Factor Error
179,Unclassified Error,Division Error,Whole Number Bias,Swapped Dividend
180,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
181,Unclassified Error,Additive Reasoning Error,Additive Reasoning Error,Unclassified Error
182,Irrelevant Explanation,Wrong Term,Adding Fractions Across,Division Error
183,Unclassified Error,Incomplete Calculation,Unclassified Error,Incomplete Calculation
184,Unclassified Error,Unclassified Error,Definition Error,Unclassified Error
185,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
186,Flip and Change Error,Swapped Dividend,Swapped Dividend,Swapped Dividend
187,Unclassified Error,Wrong Fraction,Whole Number Bias,Unclassified Error
188,Positive/Negative Sign Error,Positive/Negative Sign Error,Whole Number Bias,Whole Number Bias
189,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
190,Whole Number Bias,Denominator Only Change,Whole Number Bias,Definition Error
191,Whole Numbers Are Larger,Whole Number Bias,Whole Number Bias,Whole Numbers Are Larger
192,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation
193,Wrong Fraction,Wrong Term,Whole Number Bias,Incomplete Calculation
194,Unclassified Error,Unclassified Error,Multiplication Error,Unclassified Error
195,Positive/Negative Sign Error,Positive/Negative Sign Error,Whole Number Bias,Positive/Negative Sign Error
196,Unclassified Error,Whole Number Bias,Whole Numbers Are Larger,Whole Number Bias
197,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation
198,Subtraction Error,Subtraction Error,Incorrect application of the concept. The correct application should be 2/3 times 1/3.  The correct answer would be (2/3)*(1/3) = 2/9.,Additive Reasoning Error
199,Interior Angle Error,Multiplication Error,Scale Factor Error,Definition Error
200,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
201,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
202,Definition Error,Unclassified Error,Whole Number Bias,Unclassified Error
203,Inversion Error,Inversion Error,Inversion Error,Flip and Change Error
204,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
205,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
206,Wrong Fraction,Wrong Term,Additive Reasoning Error,Incomplete Calculation
207,Unclassified Error,Division Error,Wrong Fraction,Unclassified Error
208,Multiplication Error,Swapped Dividend,Swapped Dividend,Duplication Error
209,Unclassified Error,Wrong Fraction,Adding Fractions Across,Denominator Only Change
210,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
211,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
212,Unclassified Error,Incomplete Calculation,Wrong Fraction,Incomplete Calculation
213,Unclassified Error,Positive/Negative Sign Error,Unclassified Error,Whole Number Bias
214,Incomplete Calculation,Wrong Fraction,Incomplete Calculation,Incomplete Calculation
215,Division Error,Division Error,Swapped Dividend,Inverse Operation Error
216,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
217,Unclassified Error,Unclassified Error,Whole Number Bias,Unknowable Error
218,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
219,Unclassified Error,Wrong Term,Whole Number Bias,Unclassified Error
220,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
221,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
222,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
223,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
224,Inversion Error,Multiplication Error,Duplication Error,Denominator Only Change
225,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
226,Subtraction Error,Additive Reasoning Error,Whole Number Bias,Additive Reasoning Error
227,Multiplication Error,Wrong Fraction,Swapped Dividend,Swapped Dividend
228,Unclassified Error,Unclassified Error,Adding Fractions Across,Unclassified Error
229,Subtraction Error,Subtraction Error,Wrong Term,Additive Reasoning Error
230,Unclassified Error,Unclassified Error,Incomplete Calculation,Unclassified Error
231,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation
232,Duplication Error,Duplication Error,Incomplete Calculation,Duplication Error
233,Unclassified Error,Unclassified Error,Whole Number Bias,Wrong Term
234,Unclassified Error,Wrong Term,Additive Reasoning Error,Incomplete Calculation
235,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation
236,Unclassified Error,Wrong Fraction,Whole Number Bias,Unclassified Error
237,Duplication Error,Duplication Error,Duplication Error,Duplication Error
238,Irrelevant Explanation,Scale Factor Error,Multiplication Error,Scale Factor Error
239,Denominator Only Change,Wrong Fraction,Additive Reasoning Error,Unclassified Error
240,Unclassified Error,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
241,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation
242,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
243,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
244,Unclassified Error,Wrong Term,Unclassified Error,Unclassified Error
245,Multiplication Error,Division Error,Additive Reasoning Error,Swapped Dividend
246,Unclassified Error,Unclassified Error,Adding Fractions Across,Unclassified Error
247,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
248,Unclassified Error,Swapped Dividend,Multiplication Error,Swapped Dividend
249,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
250,Adding Fractions Across,Additive Reasoning Error,Adding Fractions Across,Adding Fractions Across
251,Whole Numbers Are Larger,Whole Number Bias,Whole Number Bias,Whole Numbers Are Larger
252,Unclassified Error,Unclassified Error,Inverse Operation Error,Unclassified Error
253,Unclassified Error,Unclassified Error,Positive/Negative Sign Error,Unclassified Error
254,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
255,Unclassified Error,Unclassified Error,Positive/Negative Sign Error,Positive/Negative Sign Error
256,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
257,Whole Numbers Are Larger,Whole Numbers Are Larger,Whole Number Bias,Whole Number Bias
258,Unclassified Error,Wrong Term,Unclassified Error,Unclassified Error
259,Subtraction Error,Additive Reasoning Error,Inversion Error,Additive Reasoning Error
260,Duplication Error,Duplication Error,Whole Number Bias,Duplication Error
261,Unclassified Error,Whole Number Bias,Unclassified Error,Whole Number Bias
262,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
263,Base Rate Error,Division Error,Additive Reasoning Error,Division Error
264,Positive/Negative Sign Error,Positive/Negative Sign Error,Whole Number Bias,Whole Number Bias
265,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
266,Unclassified Error,Unclassified Error,Incomlete Calculation,Unclassified Error
267,Unclassified Error,Unclassified Error,Additive Reasoning Error,Wrong Fraction
268,Unclassified Error,Wrong Term,Unclassified Error,Unclassified Error
269,Unclassified Error,Irrelevant Explanation,Whole Number Bias,Additive Reasoning Error
270,Unclassified Error,Unclassified Error,"Incorrect calculation of the shaded portion followed by a subtraction error, actually this is 'Swapped Dividend', where the student incorrectly subtracted the part of the shape they were trying to find",Unclassified Error
271,Unclassified Error,Denominator Only Change,Whole Number Bias,Whole Number Bias
272,Unclassified Error,Unclassified Error,Whole Number Bias,Wrong Fraction
273,Unclassified Error,Duplication Error,Incomplete Calculation,Scale Factor Error
274,Unknowable Error,Unclassified Error,Whole Number Bias,Unknowable Error
275,Unclassified Error,Wrong Term,Adding Unlike Terms,Additive Reasoning Error
276,Unclassified Error,Positive/Negative Sign Error,Swapped Dividend,Positive/Negative Sign Error
277,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
278,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
279,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
280,Unclassified Error,Subtraction Error,Additive Reasoning Error,Additive Reasoning Error
281,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
282,Unclassified Error,Unclassified Error,Duplication Error,Unknowable Error
283,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation,Incomplete Calculation
284,Unclassified Error,Whole Number Bias,Whole Number Bias,Unclassified Error
285,Positive/Negative Sign Error,Positive/Negative Sign Error,Additive Reasoning Error,Positive/Negative Sign Error
286,Unclassified Error,Whole Number Bias,Whole Number Bias,Unclassified Error
287,Unclassified Error,Unclassified Error,Incomplete Calculation,Wrong Term
288,Unclassified Error,Wrong Term,Additive Reasoning Error,Unclassified Error
289,Adding Fractions Across,Additive Reasoning Error,Adding Fractions Across,Adding Fractions Across
290,Wrong Term,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
291,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
292,Unclassified Error,Unclassified Error,Incomplete Calculation,Unclassified Error
293,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
294,Unclassified Error,Multiplication Error,Swapped Dividend,Inversion Error
295,Adding Fractions Across,Adding Fractions Across,Incomplete Calculation,Adding Fractions Across
296,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
297,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
298,Unclassified Error,Unclassified Error,Adding Fractions Across,Adding Fractions Across
299,Wrong Fraction,Wrong Term,Unclassified Error,Wrong Term
300,Unclassified Error,Unclassified Error,Swapped Dividend,Unclassified Error
301,Unclassified Error,Tacking On Zeroes,Tacking On Zeroes,Tacking On Zeroes
302,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
303,Unclassified Error,Additive Reasoning Error,Whole Number Bias,Additive Reasoning Error
304,Unclassified Error,Whole Number Bias,Whole Number Bias,Shorter Decimals Are Bigger
305,Unknowable Error,Unclassified Error,Unclassified Error,Irrelevant Explanation
306,Subtraction Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
307,Swapped Dividend,Swapped Dividend,Additive Reasoning Error,Swapped Dividend
308,Irrelevant Explanation,Wrong Fraction,Additive Reasoning Error,Whole Number Bias
309,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
310,Swapped Dividend,Denominator Only Change,Swapped Dividend,Swapped Dividend
311,Unclassified Error,Wrong Fraction,Incomplete Calculation,Unclassified Error
312,Denominator Only Change,Adding Fractions Across,Adding Fractions Across,Wrong Fraction
313,Unclassified Error,Unclassified Error,Duplication Error,Unclassified Error
314,Division Error,Division Error,Wrong Term,Inverse Operation Error
315,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
316,Multiplication Error,Division Error,Swapped Dividend,Swapped Dividend
317,Wrong Fraction,Wrong Fraction,Additive Reasoning Error,Wrong Fraction
318,Wrong Term,Additive Reasoning Error,Whole Number Bias,Unclassified Error
319,Unclassified Error,Unclassified Error,Additive Reasoning Error,Unclassified Error
320,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
321,Multiplication Error,Multiplication Error,Swapped Dividend,Swapped Dividend
322,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
323,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
324,Unclassified Error,Positive/Negative Sign Error,Swapped Dividend,Positive/Negative Sign Error
325,Unclassified Error,Wrong Term,Whole Number Bias,Base Rate Error
326,Multiplying By 4,Multiplication Error,Multiplication Error,Unclassified Error
327,Unclassified Error,Unclassified Error,Incomplete Calculation,Unclassified Error
328,Unclassified Error,Unclassified Error,Wrong Fraction,Unknowable Error
329,Additive Reasoning Error,Additive Reasoning Error,Unclassified Error,Additive Reasoning Error
330,Unclassified Error,Wrong Term,Addition Reasoning Error,Unclassified Error
331,Inversion Error,Inverse Operation Error,"Incorrect - However, upon reevaluating -  In the given explanation - the student did indeed use the whole number 5 and convert it into 1/5, after which they decided to multiply the numerators instead of the values, which leads us to a Duplication Error",Inversion Error
332,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
333,Adding Unlike Terms,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
334,Unclassified Error,Unclassified Error,Irrelevant Explanation,Unclassified Error
335,Unclassified Error,Unclassified Error,Incomplete Calculation,Unclassified Error
336,Incomplete Calculation,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
337,Unclassified Error,Wrong Fraction,Inversion Error,Unclassified Error
338,Positive/Negative Sign Error,Positive/Negative Sign Error,Positive/Negative Sign Error,Positive/Negative Sign Error
339,Unclassified Error,Unclassified Error,Additive Reasoning Error,Inverse Operation Error
340,Unclassified Error,Multiplication Error,Whole Number Bias,Unclassified Error
341,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error,Additive Reasoning Error
342,Unclassified Error,Positive/Negative Sign Error,Additive Reasoning Error,Inverse Operation Error
343,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
344,Unclassified Error,Unclassified Error,Whole Number Bias,Unclassified Error
345,Unclassified Error,Incomplete Calculation,Whole Number Bias,Incomplete Calculation
346,Unclassified Error,Wrong Term,Whole Number Bias,Base Rate Error
347,Unclassified Error,Unclassified Error,Unclassified Error,Unclassified Error
348,Unclassified Error,Duplication Error,Duplication Error,Duplication Error
349,Unclassified Error,Multiplication Error,Whole Number Bias,Unclassified Error
350,Incomplete Calculation,Incomplete Calculation,Additive Reasoning Error,Incomplete Calculation
351,Unclassified Error,Wrong Fraction,Whole Number Bias,Unclassified Error
352,Wrong Term,Wrong Term,Additive Reasoning Error,Incomplete Calculation
353,Incomplete Calculation,Incomplete Calculation,Duplicate Error,Incomplete Calculation
354,Unclassified Error,Wrong Fraction,Incomplete Calculation,Unclassified Error
355,Adding Unlike Terms,Additive Reasoning Error,Whole Number Bias,Additive Reasoning Error
356,Unclassified Error,Wrong Term,Whole Number Bias,Unclassified Error
357,Unclassified Error,Multiplication Error,Inversion Error,Unclassified Error
358,Denominator Only Change,Wrong Fraction,Inversion Error,Adding Fractions Across
359,Whole Number Bias,Wrong Fraction,Inversion Error,Whole Number Bias
360,Adding Fractions Across,Additive Reasoning Error,Adding Fractions Across,Adding Fractions Across
361,Unclassified Error,Unclassified Error,Longer Decimals Are Bigger,Whole Number Bias
